der el
romane novelas
fusion fusión
fähigkeiten habilidades
traditionell tradicionales
traditionell tradicional
traditionell tradicionalmente
integration integración
besonderheit peculiaridad
besonderheit particularidad
besonderheit especificidad
älter mayor
ips ips
pedro pedro
schade lástima
achten octava
festen fijo
wiederherstellung recuperación
wiederherstellung restauración
palais palais
messe feria
aufnehmen grabar
tim tim
schlesien silesia
ablauf expiración
zimmer habitaciones
bewegen mover
wahrnehmung percepción
meldung reporte
meldung mensaje
abgebrochen cancelado
abgebrochen cancelada
beschrieb describió
bevorzugt preferido
contra contras
nutzt aprovecha
schlagzeuger baterista
hauptmann capitán
irgendwelche alguna
irgendwelche cualesquiera
anwendungen aplicaciones
bundestag bundestag
bündnis alianza
dick dick
gründeten basaron
ehemann esposo
wachsen crecer
dienten sirvieron
dienten sirvió
eis hielo
griff apretón
griff mango
griff agarre
niveau nivel
erfinder inventores
erfinder inventor
samt terciopelo
präfektur prefectura
abbildung figura
abbildung ilustración
lehrstuhl cátedra
archäologie arqueología
freundin amiga
stamm tribu
stamm cepa
willi willi
berater asesor
berater consultor
berater consejero
qualifiziert calificados
qualifiziert calificado
jury jurado
formal formalmente
formal formal
anwalt abogado
holland holanda
ergänzen complementar
konkurrenz competición
konkurrenz competencia
geteilt dividido
geteilt compartido
prüfen comprobar
gesicht cara
gesicht rostro
türkische turco
unfall accidente
atlas atlas
sterben morir
abschnitte secciones
zitiert cita
zitiert citando
einspruch protesta
einspruch objeción
platte placa
eroberung conquista
sand arena
scheinen parecen
index índice
ruine ruina
heide heide
wies desestimó
ereignis acontecimiento
ereignis evento
stadtrat concejal
monte monte
wesen criaturas
wesen wesen
brauerei cervecería
zeugen testigo
zeugen testigos
roth roth
gefahren peligros
philip philip
dateien archivos
slowakei eslovaquia
luther luther
dfb dfb
gefärbt teñidos
gefärbt coloreado
nachtrag apéndice
nachtrag suplemento
aufwand esfuerzo
formulierung formulación
formulierung redacción
vögel aves
kommunistischen comunista
letztes último
letztes última
ursula ursula
willy willy
alice alicia
alice alice
pflanze planta
altes antiguo
altes viejo
altes vieja
geplante planificados
kämpfte luchó
kritische crítico
kritische crítica
hund perro
hütte choza
nachruf obituario
ding ding
ding cosita
briten británico
briten británicos
scheinbar aparentemente
jahrgang cosecha
exil exilio
soldat soldado
eigentum propiedad
leer vacío
leer vacía
neapel nápoles
entdeckung hallazgo
entdeckung descubrimiento
fuchs zorro
verdient merecido
beobachten observar
block bloque
dokumentarfilm documental
sammeln coleccionar
sammeln recoger
dauerhaft permanente
dauerhaft permanentemente
angriffe ataques
durchschnittliche promedio
urheber autores
klären clarificar
klären aclarar
jens jens
gebäuden edificios
hell hell
non non
zufällig aleatorio
ausgewiesen deportado
schnelle rápido
schnelle rápida
wörterbuch diccionario
aktionen promociones
aktionen acciones
ralf ralf
gordon gordon
niederlagen derrotas
papier papel
stift pluma
maurice maurice
kpd kpd
wahr cierto
wahr verdad
erzielt alcanzado
halb mitad
halb medio
überzeugt convencidos
überzeugt confidente
missouri misuri
abfluss desagüe
freundschaft amistad
stärke fuerza
gliederung desglose
office office
elizabeth elizabeth
wählte eligió
wählte optó
sekretär secretario
fred fred
beenden salir
beenden terminar
johnny johnny
testament testamento
dei dei
wand pared
diözese diócesis
abgrenzung demarcación
abgrenzung delimitación
arm brazo
arm pobre
samen semillas
kontakte contactos
glocken campanas
unterscheidung distinción
unterscheidung diferenciación
unesco unesco
peking pekín
journalisten periodistas
florian florian
erforschung exploración
hits hits
pflege cuidados
gewidmet dedicada
gewidmet dedicado
hanau hanau
typischen típico
typischen típica
wirklichkeit realidad
corporation corporación
bene bene
hochzeit boda
sechsten sexto
sechsten sexta
kapazität capacidad
formuliert formuladas
formuliert formulado
kolonie colonia
hms hms
bbc bbc
personal personal
wissenschaftlich científico
wissenschaftlich científica
netzwerk red
erziehung educación
vorwurf reproche
vorwurf acusación
ergab reveló
verbände asociaciones
liest lee
vizepräsident vicepresidente
reihen series
reihen filas
neumann neumann
starben murieron
technologie tecnología
hilfreich útil
hilfreich útiles
#aaa #aaa
wittenberg wittenberg
nachricht mensaje
redakteur redactor
redakteur editor
bmw bmw
schlagzeug batería
ansichten opiniones
gefangen atrapados
gefangen capturados
gefangen prisionero
gregor gregorio
übernimmt asume
ausgesprochen pronunciado
jugendlichen adolescentes
statue estatua
extra extra
gruss saludo
mythologie mitología
brachten trajeron
axel axel
abraham abraham
verzeichnis directorio
inhaber titulares
inhaber propietario
inhaber titular
mühe apuro
therapie terapia
synonym sinónimo
synonym sinónimos
demokratische democrática
demokratische democrático
kommentare comentarios
hahn gallo
überflüssig superfluo
überflüssig innecesario
erwartet esperaba
gewässer aguas
erzeugen generar
meinungen opiniones
flüsse ríos
kämpfe pelea
kämpfe peleas
million millón
million millon
global global
abenteuer aventura
abenteuer aventuras
enden extremos
jugoslawien yugoslavia
sachlich objetivamente
könige reyes
nato otan
verkaufen vender
verkaufen venta
kreise círculos
kroatien croacia
teilnehmen participar
giuseppe giuseppe
territorium territorio
territorium territorios
zulassung admisión
kärnten carintia
wurzeln raíces
asteroid asteroide
sammlungen colecciones
thailand tailandia
steine piedras
racing racing
entscheidend crucial
luise luisa
markiert marcado
neckar neckar
gemessen medido
historisches histórico
instrumente instrumentos
bischöfe obispos
verluste pérdidas
schwach débiles
schwach débil
prince prince
two two
clark clark
sterne estrellas
gefällt gusta
gallen gallen
vorstellen imaginar
breisgau brisgovia
benedikt benedicto
erreichbar alcanzable
erreichbar accesible
heirat matrimonio
erik erik
angelegenheiten asuntos
library library
tote muertes
tote muertos
einzeln individual
einzeln individualmente
sportler deportista
sportler deportistas
marcel marcel
durchschnittlich promedio
traditionelle tradicionales
traditionelle tradicional
genre género
ergänzung complemento
ergänzung suplemento
enthielt incluía
enthielt contenía
erkannt reconocido
erkannt detectado
berger berger
völker pueblos
philippe philippe
microsoft microsoft
konkret concretamente
konkret concreta
fabrik fábrica
haupt casero
haupt casera
dauerte duró
jahrhunderte siglos
anmerkung nota
anmerkung comentario
positive positivos
positive positivo
positive positiva
qualifizierte cualificados
qualifizierte calificados
produktionen producciones
linux linux
tausend mil
duke duke
training entrenamiento
thüringer thüringer
orange naranja
tür puerta
syndrom síndrome
sultan sultán
muster patrón
muster patrones
zusammensetzung composición
fliegen volar
gedicht poema
fame fame
mitbegründer cofundador
gehe ir
soziologie sociología
schlechter peor
jimmy jimmy
lehen feudo
reichte sometió
schild escudo
hartmann hartmann
explizit explícita
explizit explícitamente
explizit explícito
römer romanos
übertragung transmisión
übertragung transferencia
übertragung traspaso
biologie biología
wisconsin wisconsin
aires aires
indiana indiana
gefragt preguntado
informiert informados
informiert informado
anordnung disposición
darsteller actores
darsteller elenco
tanz baile
tanz danza
glas cristal
glas vidrio
mayer mayer
eingestuft clasificado
wladimir vladimir
kauf compra
kauf comprar
anderson anderson
atp atp
bergbau minería
these tesis
prozesse procesos
ermöglichte permitió
kommune comuna
tschechischen checo
tschechischen checa
gelöst resuelto
gelöst resueltos
gelöst solucionado
geschätzt estimado
geschätzt apreciado
waffe arma
gemeldet reportado
trugen llevaban
trugen contribuyeron
dance dance
beurteilen juzgar
trio trio
trio trío
val val
ice ice
charlie charlie
negativ negativo
senator senador
eigenschaft propiedad
streifen tiras
kennzeichen matrícula
entworfen diseñado
down down
turin turín
berichtete informó
berichtete reportó
verwandt relacionado
literarische literaria
typen tipos
distanz distancia
adams adams
kandidatur candidatura
belgischen belga
begraben enterrado
betreiber operador
betreiber operadores
geschieht sucede
louise louise
absicht intención
stanley stanley
festivals festivales
url url
pass pasaporte
nahrung nutrición
nahrung alimento
hängen colgar
doktor doctora
doktor doctor
zugehörigkeit pertenencia
zugehörigkeit afiliación
fulda fulda
rückzug retirada
verbrechen crímenes
verbrechen delitos
verbrechen crimen
debatte debate
debatte discusión
eisen hierros
eisen hierro
seele alma
becken cuenca
wdr wdr
magazine magazine
magazine revistas
bit bit
geregelt regulado
missbrauch abuso
wiederhergestellt restaurado
bogen arco
ehrlich honesto
kritisch crítico
kritisch crítica
csu csu
knoten nudo
knoten nodo
realität realidad
voraussetzungen condiciones
voraussetzungen requisitos
mercedes mercedes
campus campus
spielern jugadores
wörter palabras
gebraucht usado
gebraucht necesitado
mittelalterliche medieval
stellvertreter suplentes
bäume árboles
künstlerischen artístico
napoleon napoleón
früchte frutas
fünfte quinto
fünfte quinta
nachträglich posteriori
nachträglich atrasado
liefern suministrar
liefern entregar
what what
brücken puentes
wars wars
unmöglich imposible
bridge bridge
dauert tarda
nicolas nicolas
nicolas nicolás
pferd caballo
vergleiche comparaciones
vincent vicente
vincent vincent
lebensraum hábitats
lebensraum hábitat
queen queen
chemnitz chemnitz
wählen elegir
intensiv intensa
intensiv intensivo
intensiv intenso
hinzugefügt agregado
hinzugefügt añadido
övp övp
hände manos
säulen pilares
säulen columnas
duo dúo
duo duo
udssr urss
einzug sangría
graben cavar
bus autobús
berühmten famosos
bataillon batallón
sarah sarah
zugriff acceso
ausschuss comité
powiat powiat
winkel ángulo
voraussetzung requisito
voraussetzung premisa
erneuert renovado
gäbe daría
gäbe hubiera
gäbe habría
ausgerichtet alineados
ausgerichtet orientado
ausgerichtet alineado
bewegt movido
eure vuestra
eure vuestros
eure vuestras
voller lleno
nehme tomo
pferde caballos
erinnerungen recuerdos
blaue azul
steiner steiner
vorschläge sugerencias
künstlerin artista
kriterium criterio
münzen monedas
lüneburg lüneburg
admiral almirante
edgar edgar
helsinki helsinki
sabine sabine
vizemeister subcampeón
alois alois
vergleichsweise comparativamente
greifswald greifswald
unbekannten desconocidos
hochschulen universidades
wiesen prados
edmund edmund
sex sexo
vereinten unidas
boris boris
sag di
höhle cueva
bruce bruce
wahrscheinlichkeit probabilidad
lyon lyon
ausrichtung orientación
ausrichtung alineación
archäologische arqueológico
magnus magnus
gefolgt seguido
gefolgt seguida
werft astillero
freiwillige voluntarios
freiwillige voluntario
böse maldad
böse mal
manchester manchester
gesellschaften sociedades
back back
serbien serbia
küche cocina
ontario ontario
messen ferias
dirk dirk
badminton bádminton
geöffnet abierto
veränderung cambio
veränderung variación
zentral central
schröder schröder
zeichner dibujante
definitiv definitivamente
benz benz
stirbt muere
spö spö
grundstück terreno
grundstück parcela
modus modo
roter rojo
schuld culpa
schuld culpabilidad
diego diego
panzer tanques
panzer tanque
rekord récord
fördern promover
kevin kevin
ausgesetzt expuesto
ausgesetzt suspendida
ausgesetzt suspendido
verteilung distribución
restaurant restaurante
piloten piloto
piloten pilotos
fotografie fotografía
luzern lucerna
restauriert restaurado
schlechte malos
schlechte mala
beschluss decisión
jane jane
theorien teorías
ruth ruth
cross cross
his his
good good
htm htm
klare clara
grau gris
moore moore
motive motivos
motive motivaciones
krise crisis
billy billy
pause pausa
glocke campana
baumeister constructor
perspektive perspectiva
armen pobres
lissabon lisboa
lokal local
forscher explorador
forscher exploradora
phänomen fenómeno
einkommen ingresos
einkommen renta
jährliche anual
produzenten productores
produzenten productor
mandat mandato
bedeckt cubierto
echt genuino
erzbistum arquidiócesis
kansas kansas
opposition oposición
dunkel oscuro
verbesserte mejorado
logik lógica
aufhebung derogación
unabhängigen independiente
unabhängigen independientes
partie lote
freigabe liberación
mischung mezcla
geschäft tienda
stammten procedían
pour pour
streng severo
streng estrictamente
streng estricta
streng estricto
claus claus
katholisch católico
katholisch católica
colorado colorado
botaniker botánico
übersetzungen traducción
übersetzungen traducciones
kompositionen composiciones
gotha gotha
vandale vándalo
opera opera
dichte densidad
verursacht causa
verursacht causado
abfahrt salida
place place
male male
spät tarde
gnu gnu
kopie copia
enkel nietos
enkel nieto
encyclopedia encyclopedia
danzig gdansk
experten expertos
stieß empujó
ralph ralph
liberalen liberales
nachfrage demanda
normal normal
besuchen visitar
alternativ alternativa
alternativ alternativamente
vorübergehend temporal
vorübergehend temporalmente
reform reforma
existierte existido
existierte existía
institution institución
paulo paulo
literarischen literaria
reiter jinete
reiter jinetes
mond luna
verfasser autor
verfasser escritor
gas gas
dozent profesor
verwaltet gestionado
autos coches
austausch intercambio
finanzierung financiación
finanzierung finanzas
dringend urgentes
dringend urgente
überzeugen convencer
kommandant comandante
century century
stone stone
töten matar
raymond raymond
gesammelt recogidos
gesammelt recogido
dna adn
anbau cultivo
angebaut cultivan
angebaut cultivado
hammer martillo
unterbrochen interrumpida
unterbrochen interrumpido
publiziert publicado
takt compás
beinahe casi
glaubt cree
genehmigung autorización
genehmigung homologación
genehmigung aprobación
ausführlich detallado
ausnahmen excepciones
administrator administrador
entwicklungen evolución
verletzung lesión
verletzung violación
eintritt entrada
erhebt eleva
erhebt levanta
richtet alinea
roy roy
gottlieb gottlieb
girl girl
sozialistischen socialista
spektrum espectro
erben herederos
offiziere oficiales
viktor viktor
installiert instalados
installiert instalado
mobile mobile
mobile móviles
marketing marketing
people people
wikipedianer wikipedistas
archäologischen arqueológico
archäologischen arqueológicos
donald donald
regelmäßige regular
humboldt humboldt
eier huevos
besiedlung colonización
oslo oslo
schauen mirar
eingeladen invitado
suchte buscó
angrenzenden adyacentes
list list
publizist publicista
english english
unterrichtet enseñado
unterrichtet enseña
light light
ross ross
thai thai
thai tailandés
interessieren interesar
antrieb impulsión
antrieb propulsión
urban urban
men men
jonathan jonathan
geschah sucedió
memorial memorial
digitale digital
archive archivos
wohnte vivía
gegangen ido
gestartet iniciado
gestartet lanzado
nelson nelson
beschäftigen ocuparse
part part
speyer speyer
etabliert establecido
iowa iowa
reiche ricos
reiche reinos
reiche rica
komplex complejo
belgischer belga
bayerischer bayerischer
sächsische sajona
finanziert financiado
finanziert financiada
überraschend sorprendente
überraschend sorprendentemente
konservativen conservadores
schichten capas
khan khan
tsv tsv
markgraf marquesado
regen lluvia
mac mac
feiern celebrar
feiern celebraciones
fox fox
verweist remite
boxer boxer
forderung reivindicación
violine violín
clubs clubes
erhaltung conservación
erhaltung preservación
bell bell
herzen corazones
passen caber
diss diss
denis denis
litauen lituania
theologischen teológico
einfügen insertar
premier premier
behielt mantuvo
reinen puro
akten archivos
verweis referencia
verbinden conectando
verbinden conectar
sperrung bloqueo
schwarzer negro
rtl rtl
ruhig tranquilo
ruhig tranquila
planeten planetas
planeten planeta
platzierung colocación
überschrift encabezado
überschrift título
verteidiger defensor
second second
artillerie artillería
erhöhte aumentó
family family
steuern impuestos
wolff wolff
welle ola
versammlung asamblea
richtlinie directiva
range range
sizilien sicilia
fifa fifa
ablehnung rechazo
zimmermann zimmermann
zimmermann carpintero
kriege guerras
antragsteller solicitante
melden denunciar
melden reportar
elektronische electrónica
nikolai nikolai
nikolai nikolái
stock piso
stock bastón
stock stock
mississippi mississippi
orf orf
mitgliedschaft membresía
mitgliedschaft afiliación
santiago santiago
insekten insectos
how how
feat feat
exakt exactamente
schulz schulz
zugeschrieben atribuidos
zugeschrieben atribuido
claudia claudia
spaß diversión
vorläufer precursor
übte ejerció
übte practicaba
verlässt abandona
tennessee tennessee
tageszeitung diario
gen gen
widerspruch contradicción
bedenken preocupaciones
zuschauern espectadores
aufenthalt estancia
komponenten componentes
walker walker
privat privado
profi profesional
begegnung encuentro
erschossen disparado
var var
empire empire
tennis tenis
hotels hoteles
ghs sga
susanne susanne
robin robin
haushalte hogares
vertrauen confianza
bier cerveza
baby baby
baby nena
baby bebé
worms worms
berufung vocación
berufung apelación
spur pista
lieben amar
lösungen soluciones
freitag viernes
akzeptiert aceptado
akzeptiert aceptada
cds cds
irak iraq
jordan jordan
ian ian
überprüfen verificar
überprüfen comprobar
evolution evolución
dead dead
lieferte proporcionó
absolute absoluta
absolute absolutos
schwaben suabia
kaufen comprar
eingeordnet archivado
gelungen logrado
erlitt sufrió
forderungen reclamaciones
überreste restos
ersetzte sustituido
ersetzte sustituyó
islamischen islámico
informatik informática
grube mina
grube fosa
zeile línea
zeile fila
ausgerüstet equipada
ausgerüstet equipado
antoine antoine
zusammenfassung resumen
petrus pedro
gelistet listado
platzierungen ubicaciones
risiko riesgo
zuordnung asignación
bande pandilla
veröffentlichen publicar
standards estándares
cover portada
auguste auguste
philippinen filipinas
lawrence lawrence
metall metal
schauspiel espectáculo
mitteilungen comunicaciones
lothringen lorena
wechseln cambiar
residenz residencia
sowjetischer soviético
borussia borussia
mode moda
update actualización
geliefert entregados
geliefert entregado
russell russell
konstantin constantino
dialog diálogo
ann ann
reinhold reinhold
sahen vieron
großvater abuelo
gefühl sensación
gefühl sentimiento
montreal montreal
regiments regimiento
maximale máximo
maximale máxima
flugplatz aeródromo
wachstum crecimiento
gäste huéspedes
gäste invitados
passau passau
qualifizieren calificar
vorteile ventajas
conference conference
ungewöhnlich insólito
ungewöhnlich inusual
gärten jardines
wolle lana
berechnung cálculo
videos vídeos
videos videos
kulturen culturas
platten placas
platten discos
way way
konflikte conflicto
konflikte conflictos
verweisen referir
helden héroes
stipendium becas
stipendium beca
gesamt total
öffnen abrir
öffnen abierto
arbeitgeber empleadores
arbeitgeber empresarios
arbeitgeber empleador
arbeitgeber empresario
jochen jochen
entscheidet decide
massiv macizo
massiv masivo
massiv massive
massiv masiva
freiwilligen voluntarios
freiwilligen voluntario
erkrankung enfermedad
überarbeitete revisado
schlägt late
schlägt bate
schlägt golpea
performance rendimiento
pastor pastor
erwähnen mencionar
besonderheiten peculiaridades
besonderheiten particularidades
korea corea
gebunden atado
bedeutete significó
bedeutete significaba
syrien siria
dark dark
zwanzig veinte
nasa nasa
geschäfte tiendas
temperaturen temperaturas
ostsee báltico
finnischen finlandés
fake fake
bayer bayer
agnes agnes
fleisch carne
fleisch carnes
moschee mezquita
zeichnet dibuja
preisträger ganadores
verliert pierde
freunden amigos
handball balonmano
praktische práctico
slalom slalom
orientiert orientado
orientiert orientada
erweitern ampliar
erweitern expandir
nachvollziehbar comprensible
pfund libras
osmanischen otomano
stationiert localiza
limburg limburgo
human human
wahrgenommen percibido
bundesland provincia
frederick frederick
beliebt popular
beliebt populares
fernando fernando
bayreuth bayreuth
erwähnten mencionaron
abkommen acuerdo
abkommen acuerdos
abkommen repartos
stuart stuart
siedler colonos
hot hot
over over
inn dci
board board
kanzel púlpito
gehandelt negociadas
gehandelt actuado
bewohnt habitado
periode periodo
periode período
laden cargar
bewertet evaluado
bewertet valorado
bewertet valorados
akt acto
stadtteile barrios
weser weser
guy guy
nova nova
zweig rama
felder campos
spannung voltaje
spannung tensión
medium medium
medium medio
volle plena
dave dave
achse eje
fan fan
bewegungen movimientos
christentum cristianismo
fähigkeit capacidad
fähigkeit habilidad
fürstentum principado
verteidigen defender
verletzungen lesiones
triebwagen automotores
kündigte anunció
bgb bgb
reaktionen reacciones
schmid schmid
tobias tobias
greift ataca
lutz lutz
continental continental
stettin szczecin
facebook facebook
bedroht amenaza
tisch mesa
page page
korrigiert corregido
starten iniciar
angegriffen atacado
huber huber
reagiert reacciona
gegenstände objetos
betont subraya
betont subrayado
ausdehnung extensión
journalistin periodista
body body
vfl vfl
faktoren factores
primär primario
primär primaria
signatur firma
behörde autoridad
skulpturen esculturas
banken banca
banken bancos
coburg coburgo
geographie geografía
zeichnung dibujo
aspekt aspecto
kai kai
kentucky kentucky
gekauft comprado
gekauft comprados
loch agujero
network network
bürgerlichen burgués
busch arbusto
koordinaten coordenadas
matt matt
kaserne cuartel
boy boy
philosophischen filosófico
beweisen demostrar
verständlich comprensible
mars marte
pacific pacific
gewöhnlich habitualmente
gewöhnlich típicamente
indianer indios
bemerkt notado
ferrari ferrari
maus ratón
signal señal
vertrieb distribución
vertrieb ventas
edinburgh edimburgo
peru perú
verlinken enlazar
heart heart
verliebt enamorado
verliebt enamorada
vertritt representa
bibliotheken bibliotecas
sendungen envíos
teilte compartía
teilte compartió
verblieb permaneció
kuba cuba
stört molesta
unnötig innecesario
leichte ligero
organist organista
lloyd lloyd
strand playa
bruch rotura
bruch fractura
like like
miss miss
verglichen comparado
verglichen comparada
erhöhen aumentar
kavallerie caballería
begleitete acompañó
begleitete acompañaba
motto lema
norm norma
notwendigkeit necesidad
wirtschaftlich económicamente
zulässig permitido
zulässig permitidos
engen estrecho
jemanden alguien
zählten contaban
zählten contaron
caspar caspar
besiegte derrotado
besiegte derrotó
leonhard leonhard
entwarf diseñó
miguel miguel
verstoß infracción
verstoß violación
half ayudó
half half
afghanistan afganistán
konflikten conflictos
moderator moderador
rückgängig deshacer
vereinigt unida
vereinigt uniendo
vereinigt unidos
adel nobleza
vize vice
pas pas
bat bat
hubraum cilindrada
café cafetería
gary gary
stewart stewart
ursachen causas
autonomen autónomos
autonomen autónoma
arbeitsgemeinschaft consorcio
befreiung liberación
befreiung exención
zoll aduana
zoll aduanas
hingerichtet ejecutado
zeigten mostraron
about about
wunder milagro
wunder milagros
vorsprung lengüeta
vorsprung ventaja
bottom bottom
regime regímenes
regime régimen
erkannte reconoció
finger dedos
sanierung rehabilitación
geheimnis secreto
andy andy
lost lost
zeitgenössischen contemporáneo
stufen etapas
stufen escalones
fellow fellow
java java
ebenen llanuras
ebenen capas
wirst albedrío
domain dominio
versteckt oculto
versteckt escondido
est est
schlüssel llaves
schlüssel llave
katholiken católicos
reichstag reichstag
anbieter proveedores
anbieter proveedor
strafe castigo
brust pecho
zeilen líneas
zeilen filas
gulden florín
erwähnte mencioné
erwähnte mencionó
lisa lisa
seitlich lateral
angekündigt anunciado
angekündigt anunció
angekündigt anunciados
planet planet
planet planeta
mozart mozart
angewandte aplicada
dörfern aldeas
einflüsse influencias
vorsitz presidencias
vorsitz presidencia
traum sueño
allianz alianza
pietro pietro
barock barroco
kreisen círculos
pilot piloto
universal universal
verstorben fallecido
job job
geologie geología
melbourne melbourne
pius pío
kolonien colonias
lausanne lausana
klammern paréntesis
teilt comparte
verwandte afines
verwandte relacionado
unterkategorien subcategorías
québec quebec
kampagne campaña
nba nba
beobachtung observación
hoffentlich esperemos
hoffentlich espero
hoffentlich ojalá
detail detalle
problematisch problemático
problematisch problemáticos
felsen rocas
lebende vivos
lebende vivas
empfing recibió
arme brazos
arme pobre
händen manos
höhen alturas
airlines airlines
kalender calendario
blog blog
malerin pintora
unbekannte desconocidos
unbekannte desconocido
wiederwahl reelección
erfindung invención
xii xii
reichweite alcance
hals garganta
hals cuello
schlösser cerraduras
schlösser castillos
jahrhunderten siglos
olympia olympia
bemühungen esfuerzos
johan johan
margaret margaret
angewendet aplicado
angewendet aplicada
arizona arizona
sprung salto
sprung grieta
franklin franklin
bde bde
flüchtlinge refugiados
koalition coalición
begründen justificar
collection collection
comic comic
comic cómic
skulptur escultura
interpretiert interpretado
interpretiert interpretando
interpretiert interpretada
rue rue
sinfonie sinfonía
vermittlung conciliación
vermittlung mediación
vermittlung intermediación
area area
informieren informarse
informieren informar
handlungen actos
handlungen acciones
seminar seminario
substanz sustancia
harris harris
generationen generaciones
leid sufrimiento
janeiro janeiro
vancouver vancouver
bestätigte confirmado
bestätigte confirmó
bestätigte confirmada
versorgt proveído
dreharbeiten rodaje
dreharbeiten filmación
saal sala
ronald ronald
negative negativo
höchst most
mangel carencia
mangel deficiencia
mangel escasez
freiwillig voluntario
freiwillig voluntaria
freiwillig voluntariamente
minderheit minoría
berechtigt justificado
peters peters
niederländisch neerlandés
niederländisch holandés
beamten funcionario
beamten funcionarios
klagenfurt klagenfurt
kupfer cobre
lincoln lincoln
sandstein arenisca
bedeuten significar
field field
marken marcas
studieren estudiar
lasse lasse
rezension revisión
rezension repaso
rezension reseña
fische peces
irgendwas algo
schiller schiller
vierter cuarto
vierter cuarta
sven sven
verlinkten enlazadas
auszug extracto
fordert insta
fordert pide
fordert reclama
kleidung ropa
erlaubnis permiso
eingeschränkt restringida
eingeschränkt restringido
unterhält mantiene
norman norman
player reproductor
atmosphäre atmósfera
siemens siemens
mini mini
ernest ernest
geprüft comprobado
kreuzer crucero
erdbeben terremoto
besaßen poseían
feier celebración
schäfer pastor
schäfer schäfer
schäfer pastores
rückseite dorso
rückseite reverso
lokomotive locomotora
vermutung conjetura
propaganda propaganda
kenntnisse conocimientos
spalte columna
southern southern
oswald oswald
überlegungen reflexiones
zugeteilt asignado
zugeteilt asignados
teilung división
fremde forasteros
fremde desconocidos
fremde extraños
lkw camiones
lkw camión
registriert registrada
registriert registrado
abbildungen cuadros
verschwinden desaparecer
verschwinden desaparición
magdalena magdalena
spenden donaciones
earth earth
boys boys
mdr mdr
monarchie monarquía
republikanischen republicanos
republikanischen republicano
bestätigen confirmar
scharf picante
frisch recién
frisch frescos
frisch fresco
kelly kelly
alabama alabama
dokument documento
loire loire
audio audio
kette cadena
moderner moderno
herrenhaus mansión
schicht capa
justiz justicia
alberto alberto
bewaffneten armada
bewaffneten armados
mittelmeer mediterráneo
faktor factor
ermordung asesinato
connecticut connecticut
persönlichkeit personalidad
etablierte establecida
kaliningrad kaliningrado
zusatz adición
guido guido
gefangenen prisioneros
gefangenen presos
leutnant teniente
lateinische latina
lateinische latín
xvi xvi
abbau retiro
abbau degradación
vietnam vietnam
strategie estrategia
uruguay uruguay
liechtenstein liechtenstein
holocaust holocausto
siegel sello
quer transversal
hamm hamm
auschwitz auschwitz
zeitgenössische contemporáneo
beendigung terminación
detroit detroit
emma emma
publikation publicación
stoff tela
fremden forasteros
fremden extraños
ernsthaft seriamente
krankheiten enfermedades
zentimetern centímetros
bukarest bucarest
mans mans
maine maine
rief llamó
rief gritó
entlassung despido
kongo congo
stämme tribus
siebten séptimo
musikern músicos
grob grosero
dialekt dialecto
philologie filología
hofmann hofmann
grimm grimm
merkmal característica
orthodoxen ortodoxos
epoche época
engineering ingeniería
rechnung cuenta
rechnung factura
wahren verdaderos
wahren verdadero
browser navegador
verwiesen expulsado
konsul cónsul
stab bastón
draft draft
eintracht eintracht
eintragen incorporar
vermuten sospecha
rad rueda
götter dioses
vfb vfb
lass deja
harz resina
beitragen contribuir
lars lars
kopiert copiado
kopiert copia
lucas lucas
südtirol südtirol
schiedsrichter árbitro
dünn delgado
dünn flaco
bestimmungen disposiciones
mauern murallas
mauern muros
berechnet calcula
berechnet calculado
verlieren perder
gefangenschaft cautiverio
gefangenschaft cautividad
henning henning
comics comics
comics cómics
comics cómic
sainte sainte
moon moon
teufel diablo
teufel demonio
leinwand lienzo
hauptdarsteller protagonista
hauptdarsteller protagonistas
hörspiel radioteatro
rugby rugby
vorhaben proyectos
verarbeitet procesando
verarbeitet procesado
riga riga
kameramann camarógrafo
madonna madonna
roberto roberto
bedeutend significativo
vorfahren antepasados
ressourcen recursos
laura laura
zeichnen dibujar
zeichnen dibujo
bürgerschaft ciudadanía
vorträge presentaciones
vorträge conferencias
vorträge charlas
marianne marianne
wilde salvajes
wilde wilde
wilde salvaje
mathias mathias
österreichisch austro
mont mont
rumpf tronco
rumpf casco
anfangen comenzar
anfangen empezar
arabische árabe
lyrik poesía
belgrad belgrado
maryland maryland
arbeiteten trabajaron
abhängigkeit dependencia
ankunft llegada
mörder asesino
mörder asesinos
sofia sofía
abu abu
glasgow glasgow
stürmer delantero
heller heller
befreit liberado
emanuel emanuel
anliegen preocupaciones
kohle carbón
graham graham
caroline caroline
caroline carolina
kaiserreich imperio
marokko marruecos
nordischen nórdico
wörtlich literal
wörtlich literalmente
wrestling wrestling
ryan ryan
demo demo
renault renault
turner turner
einnahmen ingresos
kritiken críticas
dorothea dorothea
renoviert reformado
renoviert renovado
suhrkamp suhrkamp
nett amable
kreuzung encrucijada
kreuzung cruce
kritisierte criticó
kritisierte criticado
gilbert gilbert
verschwunden desaparecido
benennung designación
captain capitán
captain capitan
kirchliche eclesiásticas
ausgang salida
estland estonia
startet inicia
startet arranca
startet lanza
clara clara
erwachsenen adultos
nad nad
anzeige anuncio
sierra sierra
forest forest
meißen meißen
trennen desconexión
trennen separar
sogn sogn
stralsund stralsund
zwingend imperativo
spezialisiert especializado
spezialisiert especializada
spezialisiert especialidad
transportiert transportados
